City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
238,Gabu,GW,2022-02-23 17:44:08,12.2833,-14.2167,101.12,15,91,4.54
239,Buluang,PH,2022-02-23 17:44:08,13.3068,123.3425,73.51,94,66,3.27
240,Santa Isabel Do Rio Negro,BR,2022-02-23 17:44:09,-0.4139,-65.0192,79.02,91,100,1.63
241,Marystown,CA,2022-02-23 17:44:09,47.1666,-55.1483,44.85,100,100,11.99
242,San Patricio,US,2022-02-23 17:44:09,28.017,-97.5169,57.18,70,100,17.29
243,Faanui,PF,2022-02-23 17:44:10,-16.4833,-151.75,80.55,75,96,13.8
244,Havre-Saint-Pierre,CA,2022-02-23 17:44:11,50.2334,-63.5986,16.39,67,100,16.11
245,Tura,IN,2022-02-23 17:44:11,25.5198,90.2201,60.49,62,21,4.09
246,Damara,CF,2022-02-23 17:44:11,4.9608,18.7035,89.02,17,47,0.98
247,Talisayan,PH,2022-02-23 17:44:12,6.9872,121.9272,77.22,74,55,2.42
248,Tateyama,JP,2022-02-23 17:44:12,34.9833,139.8667,39.09,66,75,8.08
249,Ponta Delgada,PT,2022-02-23 17:44:13,37.7333,-25.6667,59.5,94,75,16.11
250,Playas,EC,2022-02-23 17:44:13,-2.6333,-80.3833,78.76,69,97,9.04
251,Bonavista,CA,2022-02-23 17:44:14,48.6499,-53.1147,41.11,94,100,33.76
252,Iqaluit,CA,2022-02-23 17:44:14,63.7506,-68.5145,-23.31,67,83,5.46
253,Sahuaripa,MX,2022-02-23 17:44:14,29.05,-109.2333,69.96,19,100,4.52
254,Clyde River,CA,2022-02-23 17:44:15,70.4692,-68.5914,-18.17,69,0,6.91
255,Bandarban,BD,2022-02-23 17:44:15,22.1965,92.2262,60.39,61,0,2.21
256,Fairbanks,US,2022-02-23 17:44:16,64.8378,-147.7164,5.41,85,100,0.0
257,Ipora,BR,2022-02-23 17:44:16,-16.4419,-51.1178,81.79,71,12,4.79
258,Kollam,IN,2022-02-23 17:44:16,8.8833,76.6,82.27,72,12,5.99
259,Plastunovskaya,RU,2022-02-23 17:44:17,45.2939,39.2669,53.49,81,100,4.88
